#               x              rho              vx               vy               vx               pre               Bx              By                Bz
  -0.50000000E+00   0.10000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.10000000E+01   0.10000000E+01   0.10000000E+01   0.00000000E+00
  -0.17048840E+00   0.10000000E+01   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.10000000E+01   0.10000000E+01   0.10000000E+01   0.00000000E+00
  -0.17038770E+00   0.99958220E+00   0.71244440E-03  -0.22799380E-03   0.00000000E+00   0.99930370E+00   0.99948190E+00   0.99948190E+00   0.00000000E+00
  -0.17028700E+00   0.99916450E+00   0.14247660E-02  -0.45604590E-03   0.00000000E+00   0.99860790E+00   0.99896390E+00   0.99896390E+00   0.00000000E+00
  -0.17018630E+00   0.99874700E+00   0.21369640E-02  -0.68415630E-03   0.00000000E+00   0.99791260E+00   0.99844620E+00   0.99844620E+00   0.00000000E+00
  -0.17008570E+00   0.99832970E+00   0.28490390E-02  -0.91232510E-03   0.00000000E+00   0.99721770E+00   0.99792860E+00   0.99792860E+00   0.00000000E+00
  -0.16998510E+00   0.99791260E+00   0.35609920E-02  -0.11405520E-02   0.00000000E+00   0.99652340E+00   0.99741110E+00   0.99741110E+00   0.00000000E+00
  -0.16988450E+00   0.99749560E+00   0.42728210E-02  -0.13688380E-02   0.00000000E+00   0.99582950E+00   0.99689390E+00   0.99689390E+00   0.00000000E+00
  -0.16978390E+00   0.99707880E+00   0.49845280E-02  -0.15971820E-02   0.00000000E+00   0.99513610E+00   0.99637680E+00   0.99637680E+00   0.00000000E+00
  -0.16968330E+00   0.99666220E+00   0.56961110E-02  -0.18255850E-02   0.00000000E+00   0.99444320E+00   0.99585990E+00   0.99585990E+00   0.00000000E+00
  -0.16958280E+00   0.99624580E+00   0.64075720E-02  -0.20540460E-02   0.00000000E+00   0.99375080E+00   0.99534320E+00   0.99534320E+00   0.00000000E+00
  -0.16948220E+00   0.99582950E+00   0.71189090E-02  -0.22825650E-02   0.00000000E+00   0.99305880E+00   0.99482660E+00   0.99482660E+00   0.00000000E+00
  -0.16938170E+00   0.99541340E+00   0.78301240E-02  -0.25111440E-02   0.00000000E+00   0.99236740E+00   0.99431020E+00   0.99431020E+00   0.00000000E+00
  -0.16928120E+00   0.99499750E+00   0.85412160E-02  -0.27397810E-02   0.00000000E+00   0.99167640E+00   0.99379400E+00   0.99379400E+00   0.00000000E+00
  -0.16918070E+00   0.99458180E+00   0.92521850E-02  -0.29684760E-02   0.00000000E+00   0.99098590E+00   0.99327800E+00   0.99327800E+00   0.00000000E+00
  -0.16908030E+00   0.99416620E+00   0.99630320E-02  -0.31972310E-02   0.00000000E+00   0.99029590E+00   0.99276210E+00   0.99276210E+00   0.00000000E+00
