# # Matsumoto+2019 Parker dispersion (half-domain y>=0, B-parity, node-count tracking)
# # columns: kx(=kxH0)   sigma_real(selected)   nodes(vy)   sigma_imag(selected)
# # params: g0=1.47, Hg=5.0, T0=1.0, T1=25.0, y0=10.0, Ht=0.5, beta0=0.1, gamma=1.05, N=201, y_max=47.12388980384689
# # midplane parity (B-family): vx(0)=0, p1(0)=0, rho1(0)=0, vy'(0)=0, a'(0)=0
# # top BC: neumann
# # tracking: nodes_target=0, imag_tol=1e-07, vy_rel_thresh=1e-06
# 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
7.9365079365e-03 1.7203726624e-02 0.0000000000e+00 2.4331661668e-12
1.5873015873e-02 3.2649367083e-02 0.0000000000e+00 6.3764296195e-13
2.3809523810e-02 4.5750694414e-02 0.0000000000e+00 1.4314915237e-14
3.1746031746e-02 5.6746554355e-02 0.0000000000e+00 -2.3158487933e-14
3.9682539683e-02 6.6005671022e-02 0.0000000000e+00 1.6312476733e-14
4.7619047619e-02 7.3781491647e-02 0.0000000000e+00 2.5665741915e-11
5.5555555556e-02 8.0222413791e-02 0.0000000000e+00 -1.0267262745e-11
6.3492063492e-02 8.5420287468e-02 0.0000000000e+00 4.4122636728e-11
7.1428571429e-02 8.9439859461e-02 0.0000000000e+00 -4.6382956350e-11
7.9365079365e-02 9.2330514994e-02 0.0000000000e+00 -2.0354928976e-12
8.7301587302e-02 9.4128909111e-02 0.0000000000e+00 -3.8430138522e-14
9.5238095238e-02 9.4857721703e-02 0.0000000000e+00 1.5780718828e-14
1.0317460317e-01 9.4522621458e-02 0.0000000000e+00 -3.9003681245e-14
1.1111111111e-01 9.3107697743e-02 0.0000000000e+00 -8.8103044446e-13
1.1904761905e-01 9.0568440726e-02 0.0000000000e+00 2.1868673496e-13
1.2698412698e-01 8.6820002088e-02 0.0000000000e+00 -1.8254091199e-12
1.3492063492e-01 8.1715748126e-02 0.0000000000e+00 -5.4176161062e-13
1.4285714286e-01 7.5003924200e-02 0.0000000000e+00 8.4573563504e-13
1.5079365079e-01 6.6227111961e-02 0.0000000000e+00 -9.7313088933e-12
1.5873015873e-01 5.4431735336e-02 0.0000000000e+00 1.5600943559e-11
1.6666666667e-01 3.6877282209e-02 0.0000000000e+00 -2.4919297071e-12
1.7460317460e-01 0.0000000000e+00 9.0000000000e+00 0.0000000000e+00
