# # Matsumoto+2019 Parker dispersion (half-domain y>=0, B-parity, node-count tracking)
# # columns: kx(=kxH0)   sigma_real(selected)   nodes(vy)   sigma_imag(selected)
# # params: g0=1.47, Hg=5.0, T0=1.0, T1=25.0, y0=10.0, Ht=0.5, beta0=1, gamma=1.05, N=201, y_max=47.12388980384689
# # midplane parity (B-family): vx(0)=0, p1(0)=0, rho1(0)=0, vy'(0)=0, a'(0)=0
# # top BC: neumann
# # tracking: nodes_target=0, imag_tol=1e-07, vy_rel_thresh=1e-06
# 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
1.6129032258e-02 1.7564783924e-02 0.0000000000e+00 -7.0732822607e-13
3.2258064516e-02 3.4745075869e-02 0.0000000000e+00 3.8556244222e-12
4.8387096774e-02 5.1279298068e-02 0.0000000000e+00 -1.3375435751e-12
6.4516129032e-02 6.6948064440e-02 0.0000000000e+00 9.8327074406e-11
8.0645161290e-02 8.1571982000e-02 0.0000000000e+00 4.9759760716e-11
9.6774193548e-02 9.5021729069e-02 0.0000000000e+00 4.7732767098e-12
1.1290322581e-01 1.0721386120e-01 0.0000000000e+00 -2.6443485014e-11
1.2903225806e-01 1.1810081261e-01 0.0000000000e+00 3.1717781790e-11
1.4516129032e-01 1.2766016059e-01 0.0000000000e+00 9.8620490361e-12
1.6129032258e-01 1.3588510275e-01 0.0000000000e+00 8.1437268262e-12
1.7741935484e-01 1.4277667711e-01 0.0000000000e+00 8.8257016881e-13
1.9354838710e-01 1.4833760339e-01 0.0000000000e+00 -4.2579717656e-12
2.0967741935e-01 1.5256734788e-01 0.0000000000e+00 -2.5118992810e-12
2.2580645161e-01 1.5545791347e-01 0.0000000000e+00 -2.6705787776e-13
2.4193548387e-01 1.5698981220e-01 0.0000000000e+00 2.4802979534e-12
2.5806451613e-01 1.5712760610e-01 0.0000000000e+00 -3.5843865721e-12
2.7419354839e-01 1.5581422410e-01 0.0000000000e+00 -4.3478124385e-12
2.9032258065e-01 1.5296285953e-01 0.0000000000e+00 -1.1193710738e-12
3.0645161290e-01 1.4844437346e-01 0.0000000000e+00 1.2151309214e-11
3.2258064516e-01 1.4206615751e-01 0.0000000000e+00 3.2148864877e-12
3.3870967742e-01 1.3353363100e-01 0.0000000000e+00 -9.6437945479e-12
3.5483870968e-01 1.2237245832e-01 0.0000000000e+00 -6.7087632320e-12
3.7096774194e-01 1.0774670861e-01 0.0000000000e+00 6.1252593662e-14
3.8709677419e-01 8.7922542440e-02 0.0000000000e+00 5.7608436189e-12
4.0322580645e-01 5.7748878190e-02 0.0000000000e+00 1.9607910627e-13
4.1935483871e-01 0.0000000000e+00 7.0000000000e+00 0.0000000000e+00
